VaccinationDate,age_group,first_dose,second_dose
2021-01-08,0-19,1759,0
2021-01-08,70-79,6027,0
2021-01-08,90+,656,0
2021-01-08,40-49,16245,0
2021-01-09,20-29,3347,0
2021-01-09,70-79,3361,0
2021-01-09,30-39,6759,0
2021-01-09,90+,360,0
2021-01-09,40-49,12877,0
2021-01-09,60-69,5559,0
2021-01-09,50-59,10207,0
2021-01-09,0-19,930,0
2021-01-09,80-89,1583,0
2021-01-10,50-59,7728,1571
2021-01-10,70-79,3566,360
2021-01-10,60-69,5698,1245
2021-01-10,40-49,9307,1530
2021-01-10,30-39,5855,950
2021-01-10,90+,383,<15
2021-01-10,0-19,621,<15
2021-01-10,80-89,1796,46
2021-01-10,20-29,3173,264
2021-01-11,60-69,2666,5463
2021-01-11,20-29,1761,740
2021-01-11,80-89,907,933
2021-01-11,70-79,1722,3823
2021-01-11,50-59,5210,3024
2021-01-11,30-39,3365,2132
2021-01-11,90+,212,136
2021-01-11,40-49,5360,2935
2021-01-11,0-19,229,34
2021-01-12,50-59,7688,3925
2021-01-12,20-29,2437,1202
2021-01-12,0-19,237,66
2021-01-12,80-89,895,2814
2021-01-12,30-39,2972,2993
2021-01-12,70-79,1833,9365
2021-01-12,40-49,4524,3944
2021-01-12,90+,192,391
2021-01-12,60-69,3481,10924
2021-01-13,0-19,493,109
2021-01-13,20-29,3852,1771
2021-01-13,50-59,23014,5040
2021-01-13,30-39,5189,3638
2021-01-13,40-49,8032,4799
2021-01-13,70-79,3234,16947
2021-01-13,60-69,6811,18401
2021-01-13,90+,256,1011
2021-01-13,80-89,1546,5166
2021-01-14,0-19,772,138
2021-01-14,90+,220,1301
2021-01-14,30-39,7240,3755
2021-01-14,80-89,1114,7178
2021-01-14,20-29,5565,1837
2021-01-14,50-59,23388,5420
2021-01-14,70-79,2479,21060
2021-01-14,40-49,10281,5124
2021-01-14,60-69,5719,23075
2021-01-15,20-29,3178,702
2021-01-15,80-89,563,4351
2021-01-15,0-19,542,99
2021-01-15,50-59,11943,2656
2021-01-15,70-79,1228,11941
2021-01-15,90+,118,752
2021-01-15,40-49,5964,2083
2021-01-15,60-69,2714,12175
2021-01-15,30-39,4744,1358
2021-01-16,20-29,2074,323
2021-01-16,0-19,449,55
2021-01-16,60-69,1876,9180
2021-01-16,80-89,366,3111
2021-01-16,90+,78,634
2021-01-16,30-39,3411,758
2021-01-16,40-49,8017,1333
2021-01-16,70-79,784,8977
2021-01-16,50-59,12641,1816
2021-01-17,90+,204,1927
2021-01-17,70-79,2377,25547
2021-01-17,30-39,6716,4497
